id,symbol,status,timestamp_created,buy_order_price,buy_order_status,sell_order_price,sell_order_status,buy_size_quote,buy_size_base,sell_size_quote,sell_size_base,psar_timeframe,max_number_of_trades_for_period,max_number_of_trades_period,buy_order_fill_timestamp,buy_order_fee,sell_order_fill_timestamp,sell_order_fee,side,gross_pnl,net_pnl
43,btcusdt,closed,2022-04-01 00:00:15.348494,45515.4848406,filled,45516.3951594,filled,12,0.0002636465379205617,12.00012,0.0002636439014551825,5min,100,7d,2022-04-01 00:00:15.351840,0.0012000000000000001,2022-04-01 00:00:15.353601,0.001200012,long,0.00012000000000078614,-0.002280011999999214
44,btcusdt,closed,2022-04-01 00:00:15.348495,45515.4848406,filled,45516.3951594,filled,12,0.0002636465379205617,12.00012,0.0002636439014551825,5min,100,7d,2022-04-01 00:00:15.351840,0.0012000000000000001,2022-04-01 00:00:15.353601,0.001200012,long,0.00012000000000078614,-0.002280011999999214
45,btcusdt,closed,2022-04-01 00:00:15.348655,45515.494840499996,filled,45516.4051595,filled,12,0.0002636464799965729,12.00012,0.00026364384353177295,5min,100,7d,2022-04-01 00:00:15.351840,0.0012000000000000001,2022-04-01 00:00:15.353601,0.001200012,long,0.00012000000000078614,-0.002280011999999214
49,btcusdt,closed,2022-04-01 00:00:15.353601,45516.54483,filled,45517.45517,filled,12,0.00026364039811938424,12.00012,0.00026363776171540304,5min,100,7d,2022-04-01 00:00:15.371012,0.0012000000000000001,2022-04-01 00:00:15.382278,0.001200012,long,0.00012000000000078614,-0.002280011999999214
50,btcusdt,closed,2022-04-01 00:00:15.353603,45516.54483,filled,45517.45517,filled,12,0.00026364039811938424,12.00012,0.00026363776171540304,5min,100,7d,2022-04-01 00:00:15.371012,0.0012000000000000001,2022-04-01 00:00:15.382278,0.001200012,long,0.00012000000000078614,-0.002280011999999214
52,btcusdt,closed,2022-04-01 00:00:15.382278,45519.0648048,filled,45519.9751952,filled,12,0.00026362580275890457,12.00012,0.000263623166500877,5min,100,7d,2022-04-01 00:00:15.517812,0.0012000000000000001,2022-04-01 00:00:15.539157,0.001200012,long,0.00012000000000078614,-0.002280011999999214
62,btcusdt,closed,2022-04-01 00:00:15.588269,45520.044795,filled,45520.955205000006,filled,12,0.0002636201272218014,12.00012,0.0002636174910205292,5min,100,7d,2022-04-01 00:00:49.893620,0.0012000000000000001,2022-04-01 00:00:50.723929,0.001200012,long,0.00012000000000078614,-0.002280011999999214
63,btcusdt,closed,2022-04-01 00:00:15.588270,45520.044795,filled,45520.955205000006,filled,12,0.0002636201272218014,12.00012,0.0002636174910205292,5min,100,7d,2022-04-01 00:00:49.893620,0.0012000000000000001,2022-04-01 00:00:50.723929,0.001200012,long,0.00012000000000078614,-0.002280011999999214
64,btcusdt,closed,2022-04-01 00:00:15.588270,45520.044795,filled,45520.955205000006,filled,12,0.0002636201272218014,12.00012,0.0002636174910205292,5min,100,7d,2022-04-01 00:00:49.893620,0.0012000000000000001,2022-04-01 00:00:50.723929,0.001200012,long,0.00012000000000078614,-0.002280011999999214
65,btcusdt,closed,2022-04-01 00:00:15.657026,45520.044795,filled,45520.955205000006,filled,12,0.0002636201272218014,12.00012,0.0002636174910205292,5min,100,7d,2022-04-01 00:00:49.893620,0.0012000000000000001,2022-04-01 00:00:50.723929,0.001200012,long,0.00012000000000078614,-0.002280011999999214
66,btcusdt,closed,2022-04-01 00:00:15.658092,45520.044795,filled,45520.955205000006,filled,12,0.0002636201272218014,12.00012,0.0002636174910205292,5min,100,7d,2022-04-01 00:00:49.893620,0.0012000000000000001,2022-04-01 00:00:50.723929,0.001200012,long,0.00012000000000078614,-0.002280011999999214
67,btcusdt,closed,2022-04-01 00:00:15.658146,45520.044795,filled,45520.955205000006,filled,12,0.0002636201272218014,12.00012,0.0002636174910205292,5min,100,7d,2022-04-01 00:00:49.893620,0.0012000000000000001,2022-04-01 00:00:50.723929,0.001200012,long,0.00012000000000078614,-0.002280011999999214
68,btcusdt,closed,2022-04-01 00:00:15.658237,45520.404791400004,filled,45521.315208600005,filled,12,0.0002636180423919937,12.000120000000003,0.00026361540621156984,5min,100,7d,2022-04-01 00:00:49.893620,0.0012000000000000001,2022-04-01 00:00:50.723929,0.0012000120000000003,long,0.0001200000000025625,-0.002280011999997438
69,btcusdt,closed,2022-04-01 00:00:15.662699,45520.404791400004,filled,45521.315208600005,filled,12,0.0002636180423919937,12.000120000000003,0.00026361540621156984,5min,100,7d,2022-04-01 00:00:49.893620,0.0012000000000000001,2022-04-01 00:00:50.723929,0.0012000120000000003,long,0.0001200000000025625,-0.002280011999997438
70,btcusdt,closed,2022-04-01 00:00:15.662894,45520.4247912,filled,45521.3352088,filled,12,0.0002636179265690824,12.00012,0.0002636152903898167,5min,100,7d,2022-04-01 00:00:49.893620,0.0012000000000000001,2022-04-01 00:00:50.723929,0.001200012,long,0.00012000000000078614,-0.002280011999999214
